contributor,creator,date,identifier,language,title
Columbia University Libraries,"Vella, Giuseppe, -1815",1793-01-01T00:00:00Z,ldpd_12993928_000,eng,Kitāb Dīwān Miṣr
Columbia University Libraries,"Şahidî İbrahim Dede, 1470-1550",1783-01-01T00:00:00Z,ldpd_14642783_000,ota,[Tuhfe-yi Șāhidī]
Columbia University Libraries,Euclid,1638-01-01T00:00:00Z,ldpd_13892533_000,ara,Uṣūl al-handasah wa-al-ḥisāb. Fī bayān al-murabbaʻāt
Columbia University Libraries,,1600-01-01T00:00:00Z,ldpd_14230576_000,ara,[al-Qurʼān]
Columbia University Libraries,,1674-01-01T00:00:00Z,ldpd_13892636_000,ara,al-Juzʼ al-rābiʻ
Columbia University Libraries,,1845-01-01T00:00:00Z,ldpd_14294919_000,ara,[al-Abjad]
Columbia University Libraries,,1776-01-01T00:00:00Z,ldpd_13604207_000,ara,al-Qurʼān
Columbia University Libraries,,1265-01-01T00:00:00Z,ldpd_14294924_000,ara,Kitāb al-mutawassiṭāt
Columbia University Libraries,Rajab ʻAlī Beg,1851-01-01T00:00:00Z,ldpd_13604121_000,per,Badīʻ al-ḥisāb
Columbia University Libraries,"ʻĀmilī, Bahāʼ al-Dīn Muḥammad ibn Ḥusayn, 1547-1621",1700-01-01T00:00:00Z,ldpd_13892528_000,ara,Khulāṣat al-ḥisāb : [manuscript]
Columbia University Libraries,Omar Khayyam,1688-01-01T00:00:00Z,ldpd_14642741_000,per,Rubāʻīyāt-i ʻUmar Khayyam
Columbia University Libraries,"Ibn Ḥijjah al-Ḥamawī, Taqī al-Dīn Abū Bakr ibn ʻAlī, -1434",1490-01-01T00:00:00Z,ldpd_14649874_000,ara,Taqdīm Abī Bakr
Columbia University Libraries,,1700-01-01T00:00:00Z,ldpd_14230775_000,ara,[Qurʼān leaves]
Columbia University Libraries,,1855-01-01T00:00:00Z,ldpd_14642106_000,pal,Āghāz-i kitāb-i Vīsparad bā maʻnī-i Fārsī tarjumah kardah mīnavīsam
